Wavelength,Sensitivity
300,
301,
302,
303,
304,
305,
306,
307,
308,
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,
321,
322,
323,
324,
325,
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,
337,
338,
339,
340,
341,
342,
343,
344,
345,
346,
347,
348,
349,
350,
351,
352,
353,
354,
355,
356,
357,
358,
359,
360,
361,
362,
363,
364,
365,
366,
367,
368,
369,
370,
371,
372,
373,
374,
375,
376,
377,
378,
379,
380,
381,
382,
383,
384,
385,
386,
387,
388,
389,
390,
391,
392,
393,
394,
395,
396,
397,
398,
399,
400,
401,
402,
403,
404,
405,
406,
407,
408,
409,
410,
411,
412,
413,
414,
415,
416,
417,
418,
419,
420,0.916609957
421,0.921781066
422,0.926909216
423,0.93197288
424,0.93695053
425,0.941820637
426,0.946561672
427,0.951152108
428,0.955570417
429,0.959795069
430,0.963804538
431,0.967577294
432,0.971091809
433,0.974326555
434,0.977260004
435,0.979870627
436,0.982136897
437,0.984037285
438,0.985550262
439,0.986654301
440,0.987327873
441,0.98754945
442,0.987297504
443,0.986550506
444,0.985286929
445,0.983485243
446,0.981123921
447,0.978181434
448,0.974636254
449,0.970466853
450,0.965651703
451,0.960169275
452,0.953998041
453,0.947116473
454,0.939503043
455,0.931136222
456,0.921994482
457,0.912056294
458,0.901300131
459,0.889704465
460,0.877264303
461,0.864042558
462,0.850119568
463,0.835575671
464,0.820491204
465,0.804946506
466,0.789021914
467,0.772797767
468,0.756354402
469,0.739772158
470,0.723131372
471,0.706512382
472,0.689995526
473,0.673661142
474,0.657589569
475,0.641861143
476,0.626556203
477,0.611755087
478,0.597538133
479,0.583985679
480,0.571165702
481,0.559095111
482,0.547777623
483,0.537216959
484,0.527416838
485,0.51838098
486,0.510113103
487,0.502616927
488,0.495896172
489,0.489954556
490,0.484795799
491,0.48042362
492,0.476841739
493,0.474053875
494,0.472063747
495,0.470875075
496,0.470491578
497,0.470916975
498,0.472154986
499,0.474209276
500,0.477076887
501,0.480741877
502,0.485186801
503,0.490394211
504,0.496346662
505,0.503026705
506,0.510416896
507,0.518499786
508,0.527257929
509,0.536673878
510,0.546730187
511,0.55740941
512,0.568694098
513,0.580566806
514,0.593010087
515,0.606006494
516,0.619538581
517,0.633588901
518,0.648140006
519,0.663174329
520,0.678658719
521,0.694529333
522,0.710718739
523,0.727159503
524,0.743784194
525,0.760525379
526,0.777315626
527,0.794087503
528,0.810773577
529,0.827306416
530,0.843618588
531,0.85964266
532,0.8753112
533,0.890556776
534,0.905311955
535,0.919509305
536,0.933081394
537,0.945960789
538,0.958080058
539,0.969371892
540,0.979785101
541,0.989300429
542,0.997902379
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,0.998668805
559,0.989372433
560,0.978898415
561,0.96727463
562,0.954532372
563,0.940702934
564,0.925817608
565,0.909907688
566,0.893004468
567,0.875139239
568,0.856343296
569,0.836647931
570,0.816084438
571,0.794684109
572,0.772478239
573,0.749498119
574,0.725775044
575,0.701340306
576,0.676225198
577,0.650461014
578,0.624079047
579,0.597110589
580,0.569599216
581,0.541640852
582,0.513345368
583,0.484822637
584,0.45618253
585,0.427534919
586,0.398989676
587,0.370656671
588,0.342645778
589,0.315066867
590,0.28802981
591,0.261644479
592,0.236020745
593,0.211268481
594,0.187497558
595,0.164817847
596,0.14333922
597,0.12317155
598,0.104424707
599,0.087208564
600,0.071621042
601,0.057643746
602,0.045192737
603,0.034183341
604,0.024530882
605,0.016150687
606,0.008958082
607,0.00286839
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,0
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0