Wavelength,Power
250,0.00568
251,0.00487
252,0.00585
253,0.00691
254,0.0072
255,0.00607
256,0.00443
257,0.00349
258,0.00416
259,0.00562
260,0.00578
261,0.00523
262,0.00484
263,0.0052
264,0.00553
265,0.00516
266,0.00434
267,0.00362
268,0.00395
269,0.00418
270,0.00466
271,0.00521
272,0.00525
273,0.00368
274,0.00303
275,0.00494
276,0.00552
277,0.00453
278,0.00424
279,0.00473
280,0.00569
281,0.00533
282,0.0042
283,0.0039
284,0.00412
285,0.00439
286,0.00395
287,0.00345
288,0.00363
289,0.00411
290,0.00448
291,0.00445
292,0.00411
293,0.00394
294,0.00435
295,0.00495
296,0.00447
297,0.00387
298,0.00402
299,0.00424
300,0.00446
301,0.00479
302,0.0048
303,0.00444
304,0.00436
305,0.00466
306,0.00502
307,0.0053
308,0.00517
309,0.0047
310,0.0044
311,0.00485
312,0.00522
313,0.00521
314,0.005
315,0.00495
316,0.00516
317,0.00585
318,0.00631
319,0.00549
320,0.00499
321,0.00594
322,0.00623
323,0.00572
324,0.00596
325,0.00622
326,0.00596
327,0.00643
328,0.00759
329,0.00841
330,0.00922
331,0.0103
332,0.0112
333,0.0124
334,0.0145
335,0.016
336,0.0165
337,0.0185
338,0.0218
339,0.0249
340,0.0279
341,0.0309
342,0.0329
343,0.0344
344,0.0367
345,0.0395
346,0.0424
347,0.0458
348,0.0498
349,0.0542
350,0.0578
351,0.0609
352,0.0653
353,0.0705
354,0.0746
355,0.0748
356,0.0725
357,0.0721
358,0.0752
359,0.0812
360,0.088
361,0.0936
362,0.0984
363,0.105
364,0.113
365,0.122
366,0.129
367,0.132
368,0.134
369,0.139
370,0.141
371,0.139
372,0.134
373,0.13
374,0.131
375,0.139
376,0.152
377,0.161
378,0.164
379,0.163
380,0.157
381,0.147
382,0.138
383,0.137
384,0.146
385,0.157
386,0.166
387,0.174
388,0.186
389,0.202
390,0.21
391,0.204
392,0.189
393,0.181
394,0.187
395,0.198
396,0.214
397,0.237
398,0.271
399,0.31
400,0.344
401,0.366
402,0.376
403,0.379
404,0.378
405,0.377
406,0.376
407,0.381
408,0.386
409,0.388
410,0.393
411,0.406
412,0.415
413,0.423
414,0.428
415,0.432
416,0.438
417,0.442
418,0.445
419,0.445
420,0.442
421,0.438
422,0.437
423,0.439
424,0.442
425,0.444
426,0.442
427,0.433
428,0.419
429,0.408
430,0.411
431,0.429
432,0.454
433,0.478
434,0.494
435,0.506
436,0.514
437,0.515
438,0.519
439,0.531
440,0.545
441,0.562
442,0.579
443,0.591
444,0.599
445,0.604
446,0.613
447,0.631
448,0.65
449,0.668
450,0.678
451,0.682
452,0.68
453,0.68
454,0.686
455,0.694
456,0.703
457,0.712
458,0.717
459,0.72
460,0.729
461,0.74
462,0.745
463,0.747
464,0.747
465,0.747
466,0.748
467,0.749
468,0.752
469,0.756
470,0.762
471,0.77
472,0.779
473,0.785
474,0.789
475,0.793
476,0.8
477,0.809
478,0.817
479,0.824
480,0.832
481,0.838
482,0.836
483,0.825
484,0.806
485,0.79
486,0.782
487,0.787
488,0.803
489,0.82
490,0.83
491,0.837
492,0.842
493,0.852
494,0.864
495,0.869
496,0.871
497,0.87
498,0.866
499,0.861
500,0.854
501,0.849
502,0.85
503,0.857
504,0.866
505,0.876
506,0.883
507,0.885
508,0.889
509,0.894
510,0.895
511,0.895
512,0.895
513,0.888
514,0.875
515,0.858
516,0.844
517,0.838
518,0.843
519,0.856
520,0.873
521,0.888
522,0.898
523,0.905
524,0.907
525,0.901
526,0.898
527,0.903
528,0.913
529,0.923
530,0.93
531,0.932
532,0.932
533,0.933
534,0.939
535,0.947
536,0.95
537,0.947
538,0.942
539,0.937
540,0.936
541,0.936
542,0.939
543,0.945
544,0.951
545,0.956
546,0.958
547,0.96
548,0.961
549,0.963
550,0.966
551,0.968
552,0.969
553,0.971
554,0.971
555,0.967
556,0.961
557,0.955
558,0.949
559,0.948
560,0.951
561,0.954
562,0.956
563,0.955
564,0.953
565,0.952
566,0.95
567,0.946
568,0.942
569,0.938
570,0.936
571,0.939
572,0.943
573,0.945
574,0.944
575,0.942
576,0.941
577,0.942
578,0.946
579,0.953
580,0.963
581,0.975
582,0.985
583,0.988
584,0.988
585,0.984
586,0.975
587,0.961
588,0.949
589,0.942
590,0.943
591,0.951
592,0.96
593,0.964
594,0.967
595,0.97
596,0.97
597,0.968
598,0.964
599,0.963
600,0.964
601,0.963
602,0.965
603,0.973
604,0.978
605,0.98
606,0.981
607,0.979
608,0.975
609,0.973
610,0.972
611,0.97
612,0.968
613,0.968
614,0.965
615,0.963
616,0.963
617,0.967
618,0.973
619,0.979
620,0.982
621,0.98
622,0.975
623,0.968
624,0.964
625,0.959
626,0.95
627,0.945
628,0.942
629,0.942
630,0.942
631,0.947
632,0.954
633,0.961
634,0.97
635,0.978
636,0.984
637,0.989
638,0.992
639,0.989
640,0.987
641,0.987
642,0.988
643,0.99
644,0.989
645,0.986
646,0.98
647,0.974
648,0.97
649,0.969
650,0.974
651,0.978
652,0.979
653,0.97
654,0.947
655,0.925
656,0.916
657,0.929
658,0.952
659,0.974
660,0.988
661,0.995
662,0.996
663,0.997
664,0.999
665,1
666,0.999
667,0.999
668,1
669,1
670,0.998
671,0.995
672,0.994
673,0.996
674,0.997
675,0.996
676,0.997
677,0.998
678,0.997
679,0.995
680,0.994
681,0.992
682,0.987
683,0.983
684,0.961
685,0.91
686,0.844
687,0.789
688,0.776
689,0.796
690,0.831
691,0.863
692,0.887
693,0.901
694,0.91
695,0.919
696,0.93
697,0.937
698,0.934
699,0.927
700,0.92
701,0.917
702,0.919
703,0.929
704,0.935
705,0.938
706,0.938
707,0.94
708,0.943
709,0.942
710,0.94
711,0.938
712,0.935
713,0.93
714,0.918
715,0.89
716,0.843
717,0.787
718,0.745
719,0.739
720,0.764
721,0.799
722,0.81
723,0.798
724,0.781
725,0.773
726,0.776
727,0.779
728,0.781
729,0.786
730,0.798
731,0.818
732,0.843
733,0.863
734,0.871
735,0.872
736,0.871
737,0.871
738,0.872
739,0.872
740,0.874
741,0.876
742,0.879
743,0.882
744,0.885
745,0.886
746,0.887
747,0.888
748,0.885
749,0.88
750,0.876
751,0.871
752,0.869
753,0.87
754,0.87
755,0.864
756,0.864
757,0.826
758,0.689
759,0.494
760,0.324
761,0.26
762,0.278
763,0.323
764,0.4
765,0.508
766,0.624
767,0.718
768,0.776
769,0.806
770,0.822
771,0.831
772,0.836
773,0.836
774,0.836
775,0.835
776,0.834
777,0.835
778,0.836
779,0.833
780,0.83
781,0.828
782,0.826
783,0.827
784,0.824
785,0.822
786,0.816
787,0.81
788,0.803
789,0.797
790,0.793
791,0.786
792,0.778
793,0.772
794,0.775
795,0.777
796,0.781
797,0.783
798,0.78
799,0.772
800,0.766
801,0.764
802,0.764
803,0.764
804,0.763
805,0.765
806,0.762
807,0.758
808,0.75
809,0.747
810,0.74
811,0.726
812,0.699
813,0.67
814,0.642
815,0.619
816,0.603
817,0.596
818,0.601
819,0.619
820,0.635
821,0.625
822,0.613
823,0.614
824,0.635
825,0.653
826,0.655
827,0.647
828,0.644
829,0.646
830,0.648
831,0.646
832,0.649
833,0.657
834,0.668
835,0.682
836,0.694
837,0.697
838,0.695
839,0.693
840,0.694
841,0.698
842,0.701
843,0.703
844,0.7
845,0.7
846,0.696
847,0.692
848,0.683
849,0.679
850,0.677
851,0.672
852,0.657
853,0.64
854,0.633
855,0.645
856,0.66
857,0.673
858,0.679
859,0.679
860,0.675
861,0.673
862,0.672
863,0.67
864,0.659
865,0.646
866,0.637
867,0.636
868,0.641
869,0.647
870,0.653
871,0.657
872,0.658
873,0.657
874,0.653
875,0.65
876,0.647
877,0.644
878,0.642
879,0.643
880,0.643
881,0.643
882,0.643
883,0.643
884,0.639
885,0.634
886,0.631
887,0.633
888,0.634
889,0.632
890,0.626
891,0.616
892,0.605
893,0.591
894,0.573
895,0.553
896,0.53
897,0.509
898,0.49
899,0.477
900,0.471
901,0.474
902,0.484
903,0.498
904,0.504
905,0.503
906,0.497
907,0.489
908,0.479
909,0.473
910,0.466
911,0.458
912,0.454
913,0.451
914,0.45
915,0.451
916,0.454
917,0.46
918,0.466
919,0.472
920,0.479
921,0.483
922,0.483
923,0.484
924,0.484
925,0.476
926,0.463
927,0.445
928,0.422
929,0.393
930,0.359
931,0.323
932,0.287
933,0.253
934,0.227
935,0.209
936,0.203
937,0.203
938,0.208
939,0.216
940,0.223
941,0.229
942,0.234
943,0.237
944,0.238
945,0.238
946,0.238
947,0.239
948,0.24
949,0.241
950,0.244
951,0.248
952,0.251
953,0.257
954,0.265
955,0.27
956,0.272
957,0.276
958,0.282
959,0.29
960,0.299
961,0.306
962,0.313
963,0.324
964,0.335
965,0.345
966,0.358
967,0.372
968,0.387
969,0.399
970,0.408
971,0.415
972,0.419
973,0.421
974,0.429
975,0.438
976,0.439
977,0.439
978,0.44
979,0.441
980,0.445
981,0.452
982,0.458
983,0.465
984,0.47
985,0.477
986,0.484
987,0.49
988,0.494
989,0.499
990,0.502
991,0.505
992,0.509
993,0.51
994,0.509
995,0.51
996,0.513
997,0.516
998,0.514
999,0.511
1000,0.51